EVENT_ID,STATE,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_NAME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,TOR_F_SCALE
10089971,NORTH CAROLINA,1980,May,Thunderstorm Wind,C,BLADEN,0,0,0,0,0,0,
10089972,NORTH CAROLINA,1980,May,Tornado,C,ROBESON,0,0,0,0,25K,0,F1
10089974,NORTH CAROLINA,1980,May,Tornado,C,BEAUFORT,0,0,0,0,25K,0,F1
10089975,NORTH CAROLINA,1980,May,Thunderstorm Wind,C,CRAVEN,0,0,0,0,0,0,
10089976,NORTH CAROLINA,1980,May,Thunderstorm Wind,C,ONSLOW,0,0,0,0,0,0,
10089977,NORTH CAROLINA,1980,June,Hail,C,MADISON,0,0,0,0,0,0,
10089978,NORTH CAROLINA,1980,June,Hail,C,MADISON,0,0,0,0,0,0,
10089980,NORTH CAROLINA,1980,June,Hail,C,LINCOLN,0,0,0,0,0,0,
10089981,NORTH CAROLINA,1980,June,Hail,C,GASTON,0,0,0,0,0,0,
10089982,NORTH CAROLINA,1980,June,Hail,C,CLEVELAND,0,0,0,0,0,0,
10015724,INDIANA,1980,June,Tornado,C,JOHNSON,0,0,0,0,0K,0,F1
10015725,INDIANA,1980,June,Thunderstorm Wind,C,GREENE,0,0,0,0,0,0,
9999700,FLORIDA,1980,December,Thunderstorm Wind,C,MONROE,0,0,0,0,0,0,
10097840,OHIO,1980,August,Hail,C,BELMONT,0,0,0,0,0,0,
10014731,IOWA,1980,May,Hail,C,PLYMOUTH,0,0,0,0,0,0,
10014732,IOWA,1980,May,Thunderstorm Wind,C,PLYMOUTH,0,0,0,0,0,0,
10110755,SOUTH CAROLINA,1980,July,Thunderstorm Wind,C,SUMTER,0,0,0,0,0,0,
10110756,SOUTH CAROLINA,1980,July,Thunderstorm Wind,C,AIKEN,0,0,0,0,0,0,
10110757,SOUTH CAROLINA,1980,July,Tornado,C,ORANGEBURG,0,0,0,0,25K,0,F1
10110758,SOUTH CAROLINA,1980,July,Thunderstorm Wind,C,BERKELEY,0,0,0,0,0,0,
10110759,SOUTH CAROLINA,1980,July,Tornado,C,CLARENDON,0,0,0,0,25K,0,F1
10110760,SOUTH CAROLINA,1980,August,Thunderstorm Wind,C,DARLINGTON,0,0,0,0,0,0,
10110761,SOUTH CAROLINA,1980,August,Thunderstorm Wind,C,WILLIAMSBURG,0,0,0,0,0,0,
10014512,IOWA,1980,May,Tornado,C,LYON,0,0,0,0,0K,0,F0
10014513,IOWA,1980,May,Thunderstorm Wind,C,LYON,0,0,0,0,0,0,
10019399,INDIANA,1980,July,Thunderstorm Wind,C,LAKE,0,0,0,0,0,0,
10019400,INDIANA,1980,July,Thunderstorm Wind,C,MONTGOMERY,0,0,0,0,0,0,
10012524,IOWA,1980,June,Thunderstorm Wind,C,BLACK HAWK,0,0,0,0,0,0,
10012525,IOWA,1980,June,Thunderstorm Wind,C,CEDAR,0,0,0,0,0,0,
10012526,IOWA,1980,June,Tornado,C,SCOTT,0,0,0,0,2.5K,0,F1
10012527,IOWA,1980,July,Thunderstorm Wind,C,POTTAWATTAMIE,0,0,0,0,0,0,
10084826,NORTH DAKOTA,1980,May,Thunderstorm Wind,C,TOWNER,0,0,0,0,0,0,
10084827,NORTH DAKOTA,1980,May,Thunderstorm Wind,C,CAVALIER,0,0,0,0,0,0,
10084828,NORTH DAKOTA,1980,May,Thunderstorm Wind,C,TOWNER,0,0,0,0,0,0,
10084829,NORTH DAKOTA,1980,May,Hail,C,CAVALIER,0,0,0,0,0,0,
10084830,NORTH DAKOTA,1980,May,Thunderstorm Wind,C,CAVALIER,0,0,0,0,0,0,
10084831,NORTH DAKOTA,1980,May,Thunderstorm Wind,C,CAVALIER,0,0,0,0,0,0,
10084832,NORTH DAKOTA,1980,May,Thunderstorm Wind,C,CAVALIER,0,0,0,0,0,0,
10084833,NORTH DAKOTA,1980,May,Thunderstorm Wind,C,PEMBINA,0,0,0,0,0,0,
10084834,NORTH DAKOTA,1980,May,Tornado,C,STEELE,0,0,0,0,0K,0,F1
10084835,NORTH DAKOTA,1980,May,Tornado,C,TRAILL,0,0,0,0,0K,0,F1
10084836,NORTH DAKOTA,1980,June,Hail,C,GRANT,0,0,0,0,0,0,
10084837,NORTH DAKOTA,1980,June,Tornado,C,MCKENZIE,0,0,0,0,0K,0,F0
10084838,NORTH DAKOTA,1980,June,Hail,C,ADAMS,0,0,0,0,0,0,
10084839,NORTH DAKOTA,1980,June,Hail,C,MCKENZIE,0,0,0,0,0,0,
10019569,INDIANA,1980,June,Thunderstorm Wind,C,TIPPECANOE,0,0,0,0,0,0,
10019570,INDIANA,1980,June,Thunderstorm Wind,C,HAMILTON,0,0,0,0,0,0,
10012528,IOWA,1980,July,Thunderstorm Wind,C,CASS,0,0,0,0,0,0,
10012529,IOWA,1980,July,Tornado,C,CASS,0,0,0,0,25K,0,F1
10012530,IOWA,1980,July,Hail,C,POTTAWATTAMIE,0,0,0,0,0,0,
10012531,IOWA,1980,July,Thunderstorm Wind,C,POTTAWATTAMIE,0,0,0,0,0,0,
10012532,IOWA,1980,July,Thunderstorm Wind,C,WAPELLO,0,0,0,0,0,0,
9998575,FLORIDA,1980,May,Thunderstorm Wind,C,ORANGE,0,0,0,0,0,0,
9998576,FLORIDA,1980,May,Thunderstorm Wind,C,ORANGE,0,0,0,0,0,0,
